0 1 1.00725
0.01 1 1.00725
0.02 1 1.00725
0.03 1 1.00725
0.04 1 1.00725
0.05 1 1.00725
0.06 1 1.00725
0.07 1 1.00725
0.08 1 1.00725
0.09 1 1.00725
0.1 1 1.00725
0.11 1 1.00725
0.12 1 1.00725
0.13 1 1.00725
0.14 1 1.00725
0.15 1 1.00725
0.16 1 1.00725
0.17 1 1.00725
0.18 1 1.00725
0.19 1 1.00725
0.2 1 1.00725
0.21 1 1.00725
0.22 1 1.00725
0.23 1 1.00725
0.24 1 1.00725
0.25 1 1.00725
0.26 1 1.00725
0.27 1 1.00725
0.28 1 1.00725
0.29 1 1.00725
0.3 1 1.00725
0.31 1 1.00725
0.32 1 1.00725
0.33 1 1.00725
0.34 1 1.00725
0.35 1 1.00725
0.36 1 1.00725
0.37 1 1.00725
0.38 1 1.00725
0.39 1 1.00725
0.4 1 1.00725
0.41 1 1.00725
0.42 1 1.00725
0.43 1 1.00725
0.44 1 1.00725
0.45 1 1.00725
0.46 1 1.00725
0.47 1 1.00725
0.48 1 1.00725
0.49 1 1.00725
0.5 1 1.00725
0.51 1 1.00725
0.52 1 1.00725
0.53 1 1.00725
0.54 1 1.00725
0.55 1 1.00725
0.56 1 1.00725
0.57 1 1.00725
0.58 1 1.00725
0.59 1 1.00725
0.6 1 1.00725
0.61 1 1.00725
0.62 1 1.00725
0.63 1 1.00725
0.64 1 1.00725
0.65 1 1.00725
0.66 1 1.00725
0.67 1 1.00725
0.68 1 1.00725
0.69 1 1.00725
0.7 1 1.00725
0.71 1 1.00725
0.72 1 1.00725
0.73 1 1.00725
0.74 1 1.00725
0.75 1 1.00725
0.76 1 1.00725
0.77 1 1.00725
0.78 1 1.00725
0.79 1 1.00725
0.8 1 1.00725
0.81 1 1.00725
0.82 1 1.00725
0.83 1 1.00725
0.84 1 1.00725
0.85 1 1.00725
0.86 1 1.00725
0.87 1 1.00725
0.88 1 1.00725
0.89 1 1.00725
0.9 1 1.00725
0.91 1 1.00725
0.92 1 1.00725
0.93 1 1.00725
0.94 1 1.00725
0.95 1 1.00725
0.96 1 1.00725
0.97 1 1.00725
0.98 1 1.00725
0.99 1 1.00725
1 1 1.00725
0 0.99 1.00449
0.01 0.99 1.00449
0.02 0.99 1.00449
0.03 0.99 1.00449
0.04 0.99 1.00449
0.05 0.99 1.00449
0.06 0.99 1.00449
