0 1 1.00862
0.01 1 1.00862
0.02 1 1.00862
0.03 1 1.00862
0.04 1 1.00862
0.05 1 1.00862
0.06 1 1.00862
0.07 1 1.00862
0.08 1 1.00862
0.09 1 1.00862
0.1 1 1.00862
0.11 1 1.00862
0.12 1 1.00862
0.13 1 1.00862
0.14 1 1.00862
0.15 1 1.00862
0.16 1 1.00862
0.17 1 1.00862
0.18 1 1.00862
0.19 1 1.00862
0.2 1 1.00862
0.21 1 1.00862
0.22 1 1.00862
0.23 1 1.00862
0.24 1 1.00862
0.25 1 1.00862
0.26 1 1.00862
0.27 1 1.00862
0.28 1 1.00862
0.29 1 1.00862
0.3 1 1.00862
0.31 1 1.00862
0.32 1 1.00862
0.33 1 1.00862
0.34 1 1.00862
0.35 1 1.00862
0.36 1 1.00862
0.37 1 1.00862
0.38 1 1.00862
0.39 1 1.00862
0.4 1 1.00862
0.41 1 1.00862
0.42 1 1.00862
0.43 1 1.00862
0.44 1 1.00862
0.45 1 1.00862
0.46 1 1.00862
0.47 1 1.00862
0.48 1 1.00862
0.49 1 1.00862
0.5 1 1.00862
0.51 1 1.00862
0.52 1 1.00862
0.53 1 1.00862
0.54 1 1.00862
0.55 1 1.00862
0.56 1 1.00862
0.57 1 1.00862
0.58 1 1.00862
0.59 1 1.00862
0.6 1 1.00862
0.61 1 1.00862
0.62 1 1.00862
0.63 1 1.00862
0.64 1 1.00862
0.65 1 1.00862
0.66 1 1.00862
0.67 1 1.00862
0.68 1 1.00862
0.69 1 1.00862
0.7 1 1.00862
0.71 1 1.00862
0.72 1 1.00862
0.73 1 1.00862
0.74 1 1.00862
0.75 1 1.00862
0.76 1 1.00862
0.77 1 1.00862
0.78 1 1.00862
0.79 1 1.00862
0.8 1 1.00862
0.81 1 1.00862
0.82 1 1.00862
0.83 1 1.00862
0.84 1 1.00862
0.85 1 1.00862
0.86 1 1.00862
0.87 1 1.00862
0.88 1 1.00862
0.89 1 1.00862
0.9 1 1.00862
0.91 1 1.00862
0.92 1 1.00862
0.93 1 1.00862
